Coin,Name,Price,1h,24h,7d,24h Volume,Mkt Cap,ID
ETP,Metaverse,0.128307,-0.011,-0.006,0.011,129166,10333434,ETP.Metaverse
XTK,xToken,0.103643,-0.013,-0.075,0.183,179060,10322790,XTK.xToken
BTC2,Bitcoin,0.573025,,0.267,-0.229,133.44,10271101,BTC2.Bitcoin
PRE,Presearch,0.025836982,-0.006,-0.023,0.012,129502,10252966,PRE.Presearch
RABBIT,Rabbit,0.228555,0.067,0.244,-0.071,1998512,10250018,RABBIT.Rabbit
SHROOM,Niftyx,0.198593,-0.005,-0.062,-0.253,525901,10235120,SHROOM.Niftyx
BWF,Beowulf,0.01021611,0,0,0,0,10216111,BWF.Beowulf
MUST,Must,111.29,0.003,-0.102,0.372,394151,10142036,MUST.Must
UBXT,UpBots,0.028266985,-0.006,-0.013,0.002,135249,10124844,UBXT.UpBots
SWRV,Swerve,0.710454,-0.003,0.033,0.127,3474090,10111631,SWRV.Swerve
VIA,Viacoin,0.435714,-0.007,-0.047,0.017,76884,10107070,VIA.Viacoin
SYNX,Syndicate,0.243242,0.002,-0.007,0.055,1.95,10062128,SYNX.Syndicate
ZAP,Zap,0.040380417,-0.004,-0.081,0.084,121124,10038074,ZAP.Zap
OCE,OceanEX,0.00301544,-0.004,-0.031,0.202,37084,10034133,OCE.OceanEX
DIGG,DIGG,39673,-0.002,0.129,0.23,566147,10022231,DIGG.DIGG
TRA,Trabzonspor,4.92,0.009,0.004,0.324,12180196,10003217,TRA.Trabzonspor
SLRS,Solrise,0.258707,-0.003,0.019,0.196,98074,9990594,SLRS.Solrise
SPC,SpaceChain,0.032409588,-0.001,-0.028,-0.072,30998,9941236,SPC.SpaceChain
HORD,Hord,0.200025,-0.007,-0.035,0.554,944056,9904365,HORD.Hord
KONO,Konomi,0.478001,0.014,0.135,0.236,1152080,9900185,KONO.Konomi
WABI,Wabi,0.167168,-0.01,-0.018,0.083,651302,9883866,WABI.Wabi
FEAR,Fear,1.49,-0.042,-0.15,-0.135,2029073,9879100,FEAR.Fear
DAFI,Dafi,0.027998383,-0.005,-0.081,0.655,305804,9762564,DAFI.Dafi
ASK,Permission,0.00183192,-0.002,-0.001,0.018,283884,9726769,ASK.Permission
SUTER,Suterusu,0.002667844,0,-0.067,0.046,66956,9721055,SUTER.Suterusu
MVI,Metaverse,75.82,-0.007,-0.044,0.078,121427,9671974,MVI.Metaverse
PKF,PolkaFoundry,0.361701,0.002,0.008,0.432,262698,9652888,PKF.PolkaFoundry
SEFI,SEFI,0.038589586,,-0.039,0.007,1281629,9602780,SEFI.SEFI
BRD,Bread,0.113736,0.004,-0.025,0.019,491421,9597670,BRD.Bread
URQA,UREEQA,0.298075,-0.018,-0.053,0.317,1714358,9571860,URQA.UREEQA
NLG,Gulden,0.017236654,-0.029,-0.097,-0.1,33468,9553649,NLG.Gulden
ABT,Arcblock,0.096611632,-0.003,-0.019,0.074,3988469,9547078,ABT.Arcblock
COVAL,Circuits,0.006533878,-0.005,0.045,0.241,27377,9507207,COVAL.Circuits
JRT,Jarvis,0.050047591,-0.022,-0.037,0.003,281248,9495995,JRT.Jarvis
TEN,Tokenomy,0.082009423,0.005,0,0.008,769195,9492131,TEN.Tokenomy
DTX,DaTa,0.042075827,0,0,0,0,9467061,DTX.DaTa
GHOST,Ghost,0.551202,-0.043,-0.042,0.239,232716,9455333,GHOST.Ghost
UNN,UNION,0.015217427,-0.012,-0.007,0.294,728278,9429401,UNN.UNION
VIDYA,Vidya,0.213178,0.001,-0.183,0.214,2956136,9409920,VIDYA.Vidya
PRXY,Proxy,19.42,0.016,-0.237,,1447046,9397202,PRXY.Proxy
MEDIA,Media,37.51,0.001,-0.011,-0.041,129116,9374791,MEDIA.Media
SPANK,SpankChain,0.01546826,,-0.034,0.436,4245.63,9358967,SPANK.SpankChain
COPS,Cops,582.45,0.011,-0.011,0.08,996790,9358796,COPS.Cops
WEBD,webdollar,0.000393918,-0.269,-0.356,-0.148,5298.26,9343244,WEBD.webdollar
FIC,Filecash,0.119431,0,-0.087,-0.046,431818,9342150,FIC.Filecash
CNFI,Connect,0.372836,-0.001,-0.021,0.191,142714,9331294,CNFI.Connect
DEGEN,DEGEN,3.51,0,-0.036,0.103,39441,9300374,DEGEN.DEGEN
MIAU,Mirrored,20.17,,0.014,,172297,9296920,MIAU.Mirrored
JUP,Jupiter,0.011814426,0.003,-0.125,-0.255,1660561,9260334,JUP.Jupiter
CHI,XAYA,0.169042,0.031,-0.098,0.211,85298,9235174,CHI.XAYA
PSL,Pastel,0.003611434,0.008,-0.02,-0.044,2467.57,9139517,PSL.Pastel
EQZ,Equalizer,0.459931,-0.017,0.128,0.126,2600277,9037636,EQZ.Equalizer
TCH,TigerCash,0.012847264,-0.016,-0.006,-0.043,5855562,9030252,TCH.TigerCash
PPAY,Plasma,0.059817141,0.01,-0.038,0.168,265708,9026841,PPAY.Plasma
NCT,PolySwarm,0.005803623,-0.006,0.039,0.013,33518,9012124,NCT.PolySwarm
TOP,TOP,0.00219781,-0.021,0.19,0.345,1300348,9001492,TOP.TOP
WEXPOLY,WaultSwap,0.002221665,0.066,0.234,0.107,1197762,8893360,WEXPOLY.WaultSwap
OCN,Odyssey,0.000886041,-0.003,0.053,0.033,3023389,8873426,OCN.Odyssey
ZEE,ZeroSwap,0.170842,-0.009,-0.039,-0.061,1314252,8872485,ZEE.ZeroSwap
MOBI,Mobius,0.017207044,-0.019,-0.171,-0.074,70922,8849733,MOBI.Mobius
PRCY,PRCY,1.04,0.018,-0.078,-0.268,855694,8822646,PRCY.PRCY
WAULTX,Wault,0.011288939,0.005,0.081,0.137,1471986,8781100,WAULTX.Wault
XIDO,Xido,82.64,0.004,0,0.444,161999,8731853,XIDO.Xido
SWFTC,SWFTCOIN,0.001332976,0.003,-0.045,0.072,4101438,8719133,SWFTC.SWFTCOIN
PYE,Creampye,1.67E-08,0.027,-0.094,0.156,212348,8714703,PYE.Creampye
PLR,Pillar,0.033508827,-0.015,0.031,0.125,136171,8714203,PLR.Pillar
WXT,Wirex,0.003780602,0.009,-0.043,0.03,538387,8661241,WXT.Wirex
LITH,Lith,0.001612822,-0.013,0.023,0.027,37283,8650616,LITH.Lith
INV,Inverse,211.65,-0.004,0.018,0.486,293438,8649241,INV.Inverse
TXL,Tixl,0.128303,-0.063,0.037,-0.116,652613,8622191,TXL.Tixl
XEND,Xend,0.178902,-0.008,-0.013,0.144,491317,8611285,XEND.Xend
BANK,Bankless,0.036172811,0.009,-0.09,-0.083,27060,8583306,BANK.Bankless
PUSH,Ethereum,1.04,-0.002,-0.016,0.075,270078,8572133,PUSH.Ethereum
KRL,KRYLL,0.269755,-0.006,-0.034,0.035,75899,8568327,KRL.KRYLL
GAME,GameCredits,0.115427,0.025,-0.014,0.071,2001126,8559108,GAME.GameCredits
ANJ,Aragon,0.065867114,-0.005,-0.029,-0.172,86963,8543381,ANJ.Aragon
PUT,PutinCoin,0.000421255,-0.007,-0.037,-0.34,78.45,8531192,PUT.PutinCoin
VALOR,Smart,0.326909,0,0.06,0.167,251404,8530404,VALOR.Smart
IDLE,IDLE,4.88,-0.014,0.004,0.182,114474,8523523,IDLE.IDLE
EVX,Everex,0.387085,0.008,-0.037,0.131,700279,8435749,EVX.Everex
BBR,Bitberry,3.64,,-0.004,0.135,964.38,8432026,BBR.Bitberry
ODE,ODEM,0.038244911,-0.01,-0.039,0.194,111923,8417034,ODE.ODEM
RFUEL,RioDeFi,0.037193775,-0.002,-0.042,0.013,3113385,8347492,RFUEL.RioDeFi
GRID,GridPlus,0.210347,-0.006,-0.081,0.1,246149,8308691,GRID.GridPlus
CMT,CyberMiles,0.010341752,-0.005,0.045,0.178,5014670,8297885,CMT.CyberMiles
DEP,Depth,0.0175911,0.023,-0.04,0.147,45706,8288040,DEP.Depth
PNY,Peony,0.569382,-0.017,-0.141,0.264,47704,8286500,PNY.Peony
VEX,Vexanium,0.008189549,-0.01,-0.006,0.034,297318,8286197,VEX.Vexanium
GMEE,GAMEE,0.150762,-0.004,-0.094,-0.045,542681,8253948,GMEE.GAMEE
TNB,Time,0.002406451,-0.006,-0.041,0.026,546204,8251581,TNB.Time
POA,POA,0.028404397,-0.031,-0.008,0.081,294792,8243125,POA.POA
DMD,Diamond,2.26,-0.006,-0.029,0.037,17617.12,8199431,DMD.Diamond
REVO,Revomon,0.362733,-0.089,-0.192,-0.298,4298533,8185175,REVO.Revomon
ANRX,AnRKey,0.085611439,-0.023,-0.114,-0.44,326581,8138709,ANRX.AnRKey
TIPS,Fedoracoin,1.41E-05,0.005,-0.04,0.102,61145,8073998,TIPS.Fedoracoin
XCASH,X-CASH,0.000131,-0.015,-0.003,-0.184,35753,8026401,XCASH.X-CASH
HZN,Horizon,0.20126,-0.005,-0.013,0.638,333270,8025073,HZN.Horizon
COV,Covesting,0.407311,-0.01,-0.054,-0.066,141970,8023905,COV.Covesting
STEP,Step,0.175766,0.002,-0.008,0.041,760291,8010972,STEP.Step
PAINT,MurAll,0.000703875,-0.015,-0.058,0.164,2207793,7963461,PAINT.MurAll
WAULT,Wault,10.23,0,0,0,0,7962658,WAULT.Wault
FDR,French,0.677624,,-0.012,0.096,959.06,7906446,FDR.French
FIN,DeFiner,0.245852,-0.006,0.015,0.114,258185,7900739,FIN.DeFiner
CHP,CoinPoker,0.024981134,0.008,-0.01,0.228,16168.94,7897668,CHP.CoinPoker
OAX,OAX,0.136482,0.002,0.063,0.149,769628,7872178,OAX.OAX
HIT,HitChain,0.000127768,0.029,0.108,0.791,1850879,7850074,HIT.HitChain
AXN,Axion,7.97E-05,0.004,-0.065,-0.041,43778,7819748,AXN.Axion
VALUE,Value,1.63,-0.02,0.004,0.158,5865772,7786981,VALUE.Value
BPT,BlackPool,3.21,-0.005,-0.081,0.193,56193,7744678,BPT.BlackPool
FLY,Franklin,0.027398279,0.021,-0.047,-0.302,511006,7741807,FLY.Franklin
MAHA,MahaDAO,3.62,0.062,-0.109,1.113,1621992,7737767,MAHA.MahaDAO
CHT,CoinHe,0.116768,0,0,0,0,7737195,CHT.CoinHe
WHITE,Whiteheart,895.38,0.024,-0.067,0.208,398845,7735587,WHITE.Whiteheart
BPRO,B Protocol,3.89,-0.049,0.26,1.086,792676,7708292,BPRO.B.Protocol
ENG,Enigma,0.091897366,-0.06,-0.06,0.04,177243,7683443,ENG.Enigma
VNLA,Vanilla,11.64,-0.006,-0.035,0.076,20019,7665993,VNLA.Vanilla
YAM,YAM,0.611901,0,-0.032,0.009,551956,7661075,YAM.YAM
SCC,Stakecube,0.826517,-0.006,-0.042,0.013,8349.33,7627765,SCC.Stakecube
RSV,Reserve,1,-0.002,-0.001,-0.006,50238,7624784,RSV.Reserve
TRTL,TurtleCoin,7.08E-05,-0.013,-0.039,0.055,181958,7614711,TRTL.TurtleCoin
HGET,Hedget,4.35,-0.005,0.001,0.056,1724549,7610130,HGET.Hedget
WOM,WOM,0.078911075,0.045,0.108,0.13,518935,7598445,WOM.WOM
LCC,Litecoin,0.010314796,-0.03,-0.046,-0.133,1385.55,7592227,LCC.Litecoin
SFUND,Seedify fund,0.692622,-0.007,-0.053,-0.19,685032,7588656,SFUND.Seedify.fund
SAITO,Saito,0.007226548,-0.008,-0.018,0.131,357445,7586487,SAITO.Saito
K21,K21,0.666315,-0.019,-0.029,0.15,222165,7575703,K21.K21
BORING,BoringDAO,0.015590823,-0.004,-0.006,0.043,1252198,7571587,BORING.BoringDAO
DUCK,DLP,0.161942,0.001,0.02,0.144,421387,7521829,DUCK.DLP
SNGLS,SingularDTV,0.00843873,-0.005,-0.035,0.024,72350,7519902,SNGLS.SingularDTV
ODDZ,Oddz,0.316318,0.01,0.002,0.129,2052710,7503555,ODDZ.Oddz
KTN,Kattana,5.37,-0.013,0.065,0.125,238399,7501818,KTN.Kattana
POOLZ,Poolz,3.1,0.006,0.025,0.373,381161,7482262,POOLZ.Poolz
XDN,DigitalNote,0.001233645,0.007,-0.044,0.102,17836.79,7456271,XDN.DigitalNote
BTX,BitCore,0.403864,0.012,0.007,-0.013,767789,7420451,BTX.BitCore
WOOFY,Woofy,0.031180532,-0.01,-0.039,0.036,68778,7410537,WOOFY.Woofy
KUS,KuSwap,5.85,0.036,0.119,1.163,1173389,7374467,KUS.KuSwap
UDO,Unido,0.158774,-0.029,0.105,0.922,2868418,7348316,UDO.Unido
BIX,Bibox,0.062017125,-0.004,-0.019,0.045,1830955,7310795,BIX.Bibox
HYVE,Hyve,0.212163,-0.004,-0.075,0.113,549790,7283431,HYVE.Hyve
DYN,Dynamic,0.470381,-0.006,-0.036,-0.212,53.1,7262976,DYN.Dynamic
NVT,NerveNetwork,0.02972193,0,-0.061,-0.671,67476,7242737,NVT.NerveNetwork
TKN,Monolith,0.195727,0.005,-0.109,0.15,352708,7221336,TKN.Monolith
COFI,CoFiX,0.582596,0.001,-0.026,-0.129,273728,7194397,COFI.CoFiX
KALM,Kalmar,2.77,-0.002,-0.047,0.045,57332,7153082,KALM.Kalmar
BUNNY,Pancake,14,-0.015,-0.006,-0.11,4566241,7148292,BUNNY.Pancake
DEC,Decentr,0.095871795,0.001,-0.123,0.059,493647,7144481,DEC.Decentr
UCASH,U CASH,0.000675773,0.002,0,0.983,0.001419124,7137480,UCASH.U.CASH
ACT,Achain,0.008242682,-0.012,-0.034,0.106,1105019,7129491,ACT.Achain
PAY,TenX,0.060452143,0.009,-0.045,0.294,918387,7122280,PAY.TenX
FEED,Feeder,0.158908,0.008,0.148,0.419,586255,7092930,FEED.Feeder
INT,INTchain,0.013772122,-0.005,-0.082,0.497,1757257,7074628,INT.INTchain
WGR,Wagerr,0.032407273,,-0.073,-0.02,7635.48,7073883,WGR.Wagerr
VRX,Verox,374.87,0.083,-0.017,0.103,2319626,7072820,VRX.Verox
RBASE,rbase finance,0.287566,0,0,0,0,7064043,RBASE.rbase.finance
HNY,Honey,345.88,0.002,-0.032,0.005,65617,7035074,HNY.Honey
MTH,Monetha,0.020062262,-0.006,-0.064,0.016,264990,6972517,MTH.Monetha
APPC,AppCoins,0.061290583,0.005,-0.042,0.107,41764,6948415,APPC.AppCoins
ABL,Airbloc,0.024958343,0.028,0.04,0.042,133011,6946959,ABL.Airbloc
GLC,Goldcoin,0.158876,0.082,0.103,0.188,13075.47,6916597,GLC.Goldcoin
TRTT,Trittium,0.05316675,0.036,-0.045,0.046,36263,6886903,TRTT.Trittium
CTI,ClinTex,0.082456327,0,-0.025,0.013,1231125,6878733,CTI.ClinTex
XMX,XMax,0.000253595,-0.016,-0.008,0.093,269421,6872831,XMX.XMax
DEUS,DEUS,4.95,-0.02,-0.021,0.112,160883,6841052,DEUS.DEUS
VFOX,VFOX,0.34016,-0.003,-0.024,0.303,164005,6840717,VFOX.VFOX
FNT,Falcon,0.000703673,-0.005,-0.049,0.22,71707,6839709,FNT.Falcon
NYZO,Nyzo,0.374364,0.021,-0.026,0.038,141800,6824279,NYZO.Nyzo
INSTAR,INSTAR,0.030636759,,0.034,-0.221,293020,6813890,INSTAR.INSTAR
XMY,Myriad,0.003759612,-0.088,0.011,0.046,16487.64,6794491,XMY.Myriad
PICKLE,Pickle,8.78,-0.002,-0.059,0.072,7323372,6790825,PICKLE.Pickle
BTC2X-FLI,BTC,34.12,-0.018,-0.063,0.038,954773,6782837,BTC2X-FLI.BTC
KOIN,Koinos,0.067572643,,-0.082,0.172,2053.77,6738822,KOIN.Koinos
CAP,Cap,66.95,-0.002,-0.036,0.218,386880,6734062,CAP.Cap
REDPANDA,RedPanda,1.60E-11,0.102,-0.107,0.975,238600,6717435,REDPANDA.RedPanda
EXNT,ExNetwork,0.106529,0,0,0,0,6716651,EXNT.ExNetwork
ABYSS,Abyss,0.029252243,-0.003,-0.025,0.091,230938,6708842,ABYSS.Abyss
YVAULT-LP-YCURVE,yUSD,1.3,-0.004,-0.011,-0.006,89471,6688950,YVAULT-LP-YCURVE.yUSD
XPAT,Pangea,0.000196779,0,0,0,0,6670703,XPAT.Pangea
SMT,SmartMesh,0.003971326,0,-0.03,0.319,297442,6627275,SMT.SmartMesh
PUSSY,Pussy,3.01E-05,-0.005,-0.074,-0.123,60905,6599639,PUSSY.Pussy
GLQ,GraphLinq,0.020389916,-0.007,-0.05,0.128,387736,6584943,GLQ.GraphLinq
B20,B20,1.22,-0.107,-0.32,0.515,805643,6575151,B20.B20
HAUS,DAOhaus,15.85,-0.007,0.073,0.572,23444,6552848,HAUS.DAOhaus
KIT,DexKit,2.16,0.033,0.011,0.122,307433,6477659,KIT.DexKit
XCUR,Curate,1.21,0.025,-0.037,0.275,322059,6474877,XCUR.Curate
PTF,PowerTrade,0.267456,-0.004,-0.115,-0.124,2336045,6472523,PTF.PowerTrade
REAP,ReapChain,0.101083,-0.001,0.028,0.026,479333,6464290,REAP.ReapChain
XAVA,Avalaunch,0.718925,-0.004,-0.04,0.067,287818,6454538,XAVA.Avalaunch
ONION,DeepOnion,0.285237,0,0.288,0.124,0,6429793,ONION.DeepOnion
777,Jackpot,0.101744,-0.007,0.007,0.007,7483.57,6410508,777.Jackpot
BITCNY,bitCNY,0.155692,0,0.009,0.01,644282,6408105,BITCNY.bitCNY
USELESS,Useless,8.84E-09,-0.005,-0.022,-0.314,16943.16,6403994,USELESS.Useless
IOV,Starname,0.047026298,-0.006,-0.036,0.021,172626,6392919,IOV.Starname
OWC,Oduwa,0.422231,-0.006,-0.028,0.114,11410.39,6380136,OWC.Oduwa
XPX,ProximaX,0.000991732,-0.003,-0.076,0.028,106681,6373219,XPX.ProximaX
BLOCK,Blocknet,0.803128,-0.007,-0.102,-0.236,7349.34,6370944,BLOCK.Blocknet
APW,APWine,1.8,-0.007,-0.052,0.305,25629,6349976,APW.APWine
FOLD,Manifold,14.96,0.005,0.15,1.637,407012,6342473,FOLD.Manifold
ROBOT,Robot,38.65,,-0.046,0.132,6689.9,6335012,ROBOT.Robot
TCP,The,0.149928,0.008,-0.013,-0.253,1246639,6323957,TCP.The
RIO,Realio,1.11,-0.005,-0.055,0.006,479123,6304398,RIO.Realio
ARCX,ARC,8617.65,0.004,0.046,0.52,109544,6283977,ARCX.ARC
SPH,Spheroid,0.053722201,0.008,0.026,-0.084,148554,6280509,SPH.Spheroid
EMON,Ethermon,0.233294,-0.004,-0.114,0.295,117780,6276212,EMON.Ethermon
BTCP,Bitcoin,1.29,,-0.135,-0.076,491.56,6218527,BTCP.Bitcoin
DLT,Agrello,0.074274004,-0.018,-0.044,0.1,222198,6189943,DLT.Agrello
RULER,Ruler,30.63,0.003,-0.005,0.13,65537,6187097,RULER.Ruler
RAZE,Raze,0.11427,0.019,0.283,0.521,3875855,6133292,RAZE.Raze
JULIEN,JULIEN,0.847093,0,0,0,0,6128153,JULIEN.JULIEN
QLC,QLC,0.025471331,-0.007,-0.121,0.064,615294,6121303,QLC.QLC
VIB,Viberate,0.033665695,-0.007,-0.032,-0.002,981923,6116534,VIB.Viberate
FUSE,Fuse,0.054283347,0,-0.098,0.002,86782,6096844,FUSE.Fuse
UIP,UnlimitedIP,0.004740261,-0.002,-0.012,0.051,108555,6075186,UIP.UnlimitedIP
HUNNY,Pancake,0.39549,-0.005,-0.077,0.095,188754,6048686,HUNNY.Pancake
RCN,Ripio,0.011271263,-0.016,-0.011,0.05,237454,6020890,RCN.Ripio
COMBO,Furucombo,0.335914,0.046,0,0.326,543125,5986363,COMBO.Furucombo
CVAG,Crypto,0.05988309,-0.005,-0.241,-0.983,1109.11,5961662,CVAG.Crypto
WASP,WanSwap,0.057006597,-0.008,-0.049,0.223,166175,5937243,WASP.WanSwap
FTS,FootballStars,6.33E-06,-0.016,-0.156,-0.107,991341,5921267,FTS.FootballStars
SYNC,Sync,0.049052091,-0.002,-0.131,0.484,336778,5917355,SYNC.Sync
NIOX,Autonio,0.065257247,-0.008,-0.111,-0.141,375258,5915820,NIOX.Autonio
ORK,Orakuru,0.294739,0.019,-0.066,-0.311,91739,5894078,ORK.Orakuru
ABLOCK,ANY,0.740714,,-0.107,-0.179,2120.39,5863077,ABLOCK.ANY
DOV,Dovu,0.019584473,-0.007,-0.059,0.201,64580,5863056,DOV.Dovu
ELE,Eleven,1.56,0.001,-0.08,0.128,85894,5860791,ELE.Eleven
KEANU,Keanu,1.07E-10,-0.086,-0.229,-0.283,548836,5848244,KEANU.Keanu
SPORE,Spore,1.39E-10,0.03,0.096,0.174,41747,5833158,SPORE.Spore
OG,OG,4.54,-0.017,0.052,0.082,2832488,5832095,OG.OG
ONX,OnX,0.655494,-0.006,-0.023,0.183,105870,5815287,ONX.OnX
YFIII,Dify Finance,363.32,-0.007,0.392,1.013,68779,5814084,YFIII.Dify.Finance
EGT,Egretia,0.001494774,0.04,0.041,0.142,1169597,5803821,EGT.Egretia
EMC2,Einsteinium,0.026041245,-0.007,-0.023,-0.082,31527,5791536,EMC2.Einsteinium
IDRT,Rupiah,6.93E-05,0.002,-0.002,0.007,1585833,5750742,IDRT.Rupiah
BFT,BnkToTheFuture,0.017338589,-0.003,-0.033,-0.062,287824,5731997,BFT.BnkToTheFuture
DOUGH,PieDAO,0.327727,-0.006,-0.093,-0.191,164843,5716699,DOUGH.PieDAO
GSWAP,Gameswap,0.652879,-0.013,0.076,-0.267,429887,5714874,GSWAP.Gameswap
DOGIRA,Dogira,0.06614091,-0.003,-0.1,-0.121,17453.79,5676796,DOGIRA.Dogira
AOA,Aurora,0.001306478,0.002,0.002,-0.05,195360,5670826,AOA.Aurora
SRN,Sirin,0.010606204,0.01,-0.033,0.091,60105,5660818,SRN.Sirin
MDS,MediShares,0.004935552,0.003,-0.007,0.103,526280,5638867,MDS.MediShares
1337,1337,1.09,-0.001,-0.038,0.158,821,5635345,1337.1337
UNISTAKE,Unistake,0.035298846,-0.009,-0.074,0.032,60748,5627286,UNISTAKE.Unistake
ITC,IoT,0.078578888,-0.055,-0.026,0.295,1344357,5606239,ITC.IoT
STARS,Mogul,0.019008974,-0.002,-0.065,-0.161,438224,5582441,STARS.Mogul
HODL,HODL,2.38E-08,0.046,0.222,-0.192,453338,5559343,HODL.HODL
L2,Leverj,0.018898947,0.007,-0.06,0.15,491228,5538735,L2.Leverj
USF,Unslashed,0.860424,-0.003,0.049,0.025,34801,5455324,USF.Unslashed
XAI,SideShift,0.134643,0.007,-0.018,0.145,32501,5454833,XAI.SideShift
LA,LATOKEN,0.088853717,-0.008,-0.006,0.023,138925,5447273,LA.LATOKEN
NEU,Neumark,0.189037,0.042,0.275,0.414,30163,5431653,NEU.Neumark
AGVE,Agave,194.28,0,-0.025,0.058,21072,5420330,AGVE.Agave
PI,Plian,0.00647203,0.001,0.011,-0.014,77138,5397364,PI.Plian
LET,Linkeye,0.008608019,-0.006,-0.051,0.415,1716022,5388472,LET.Linkeye
LAYER,UniLayer,0.268554,0.009,-0.071,0.077,3396249,5368718,LAYER.UniLayer
BUIDL,dfohub,1.59,-0.013,-0.02,0.181,88962,5367054,BUIDL.dfohub
PIN,Public,0.034075981,-0.029,0.022,0.399,40176,5350725,PIN.Public
OMS,Open,0.899602,0.003,0.013,-0.041,5655.43,5334856,OMS.Open
MBTC,Mirrored,39201,-0.009,-0.028,0.023,283360,5329886,MBTC.Mirrored
NCASH,Nucleus,0.001831,-0.012,-0.045,-0.036,140632,5316183,NCASH.Nucleus
BCDT,EvidenZ,0.144631,-0.007,-0.067,-0.002,5391.82,5301146,BCDT.EvidenZ
LUA,LuaSwap,0.0522126,0.002,-0.114,0,187337,5297866,LUA.LuaSwap
AQUA,Planet,115.75,-0.005,0.015,-0.04,7961.82,5293717,AQUA.Planet
BOO,Spookyswap,2.78,-0.012,-0.063,0.034,226439,5290067,BOO.Spookyswap
BIRD,Bird Money,64.04,-0.007,-0.045,0.656,862680,5284299,BIRD.Bird.Money
BBANK,BlockBank,0.134946,0.001,-0.129,0.762,252989,5259947,BBANK.BlockBank
NFT,NFT,0.129763,-0.005,-0.011,-0.041,33835,5248808,NFT.NFT
EOSDT,EOSDT,0.971784,0.04,-0.042,0.12,26058,5240145,EOSDT.EOSDT
BMXX,Multiplier,2.27,-0.005,-0.061,0.392,50191,5221712,BMXX.Multiplier
MOAR,Moar,1.54,0.049,-0.053,2.689,489359,5219813,MOAR.Moar
GEEQ,GEEQ,0.571341,0.003,-0.025,0.096,1177358,5219660,GEEQ.GEEQ
DTA,DATA,0.000462308,-0.008,-0.059,0.052,536047,5183627,DTA.DATA
DOS,DOS,0.039398251,-0.002,-0.024,0.066,119208,5182375,DOS.DOS
DEXTF,DEXTF,0.243513,-0.007,-0.088,-0.016,21916,5168448,DEXTF.DEXTF
